providerKey,merchantKey,etlCode1,description,active
ethical-superstore-web,ethical-superstore,groceries-and-everyday/store-cupboard/breakfast-cereals,Breakfast cereals,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/store-cupboard/herbs-and-spices,Herbs and spices,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/store-cupboard/tinned-veg-and-pulses,Tinned veg and pulses,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/store-cupboard/soup,Soup,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/store-cupboard/coconut,Coconut,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/store-cupboard/fish-and-seafood,Fish and seafood,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/pasta-and-noodles/pasta,Pasta,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/pasta-and-noodles/noodles,Noodles,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/pasta-rice-and-pulses/rice,Rice,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/pasta-rice-and-pulses/pulses,Pulses,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/pasta-rice-and-pulses/beans-and-pulses-dried,Beans and pulses dried,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/pasta-rice-and-pulses/grains,Grains,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/sauces-and-stock/curry-sauces,Curry sauces,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/sauces-and-stock/pasta-sauce-and-pesto,Pasta sauce and pesto,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/sauces-and-stock/gravy-and-stock,Gravy and stock,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/sauces-and-stock/cooking-sauces,Cooking sauces,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/jams-and-preserves/preserves,Preserves,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/jams-and-preserves/savoury-spreads,Savoury spreads,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/jams-and-preserves/chocolate-spread,Chocolate spread,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/condiments/table-sauces,Table sauces,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/condiments/mayonnaise,Mayonnaise,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/condiments/chutney-and-relish,Chutney and relish,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/condiments/salt-and-pepper,Salt and pepper,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/deli-and-antipasti/olives,Olives,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/deli-and-antipasti/oils-and-vinegars,Oils and vinegars,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/deli-and-antipasti/pate-and-dips,Pate and dips,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/deli-and-antipasti/antipasti,Antipasti,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/deli-and-antipasti/salad-dressings,Salad dressings,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/fruit-nuts-and-seeds/fruit,Fruit,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/fruit-nuts-and-seeds/nuts,Nuts,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/fruit-nuts-and-seeds/seeds,Seeds,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/baking-ingredients/flour,Flour,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/baking-ingredients/sugars-and-syrups,Sugars and syrups,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/baking-ingredients/baking-mixes,Baking mixes,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/baking-ingredients/egg-replacers,Egg replacers,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/drinks/coffee-beans,Coffee beans,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/drinks/ground-coffee,Ground coffee,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/drinks/instant-coffee,Instant coffee,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/drinks/tea,Tea,FALSE
