category,identifier,description,active,sourceLink
groceries-and-everyday,groceries-and-everyday/store-cupboard/breakfast-cereals,Breakfast cereals,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/store-cupboard/breakfast-cereals
groceries-and-everyday,groceries-and-everyday/store-cupboard/herbs-and-spices,Herbs and spices,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/store-cupboard/herbs-and-spices
groceries-and-everyday,groceries-and-everyday/store-cupboard/tinned-veg-and-pulses,Tinned veg and pulses,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/store-cupboard/tinned-veg-and-pulses
groceries-and-everyday,groceries-and-everyday/store-cupboard/soup,Soup,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/store-cupboard/soup
groceries-and-everyday,groceries-and-everyday/store-cupboard/coconut,Coconut,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/store-cupboard/coconut
groceries-and-everyday,groceries-and-everyday/store-cupboard/fish-and-seafood,Fish and seafood,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/store-cupboard/fish-and-seafood
groceries-and-everyday,groceries-and-everyday/pasta-and-noodles/pasta,Pasta,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/pasta-and-noodles/pasta
groceries-and-everyday,groceries-and-everyday/pasta-and-noodles/noodles,Noodles,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/pasta-and-noodles/noodles
groceries-and-everyday,groceries-and-everyday/pasta-rice-and-pulses/rice,Rice,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/pasta-rice-and-pulses/rice
groceries-and-everyday,groceries-and-everyday/pasta-rice-and-pulses/pulses,Pulses,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/pasta-rice-and-pulses/pulses
groceries-and-everyday,groceries-and-everyday/pasta-rice-and-pulses/beans-and-pulses-dried,Beans and pulses dried,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/pasta-rice-and-pulses/beans-and-pulses-dried
groceries-and-everyday,groceries-and-everyday/pasta-rice-and-pulses/grains,Grains,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/pasta-rice-and-pulses/grains
groceries-and-everyday,groceries-and-everyday/sauces-and-stock/curry-sauces,Curry sauces,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/sauces-and-stock/curry-sauces
groceries-and-everyday,groceries-and-everyday/sauces-and-stock/pasta-sauce-and-pesto,Pasta sauce and pesto,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/sauces-and-stock/pasta-sauce-and-pesto
groceries-and-everyday,groceries-and-everyday/sauces-and-stock/gravy-and-stock,Gravy and stock,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/sauces-and-stock/gravy-and-stock
groceries-and-everyday,groceries-and-everyday/sauces-and-stock/cooking-sauces,Cooking sauces,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/sauces-and-stock/cooking-sauces
groceries-and-everyday,groceries-and-everyday/jams-and-preserves/preserves,Preserves,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/jams-and-preserves/preserves
groceries-and-everyday,groceries-and-everyday/jams-and-preserves/savoury-spreads,Savoury spreads,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/jams-and-preserves/savoury-spreads
groceries-and-everyday,groceries-and-everyday/jams-and-preserves/chocolate-spread,Chocolate spread,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/jams-and-preserves/chocolate-spread
groceries-and-everyday,groceries-and-everyday/condiments/table-sauces,Table sauces,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/condiments/table-sauces
groceries-and-everyday,groceries-and-everyday/condiments/mayonnaise,Mayonnaise,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/condiments/mayonnaise
groceries-and-everyday,groceries-and-everyday/condiments/chutney-and-relish,Chutney and relish,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/condiments/chutney-and-relish
groceries-and-everyday,groceries-and-everyday/condiments/salt-and-pepper,Salt and pepper,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/condiments/salt-and-pepper
groceries-and-everyday,groceries-and-everyday/deli-and-antipasti/olives,Olives,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/deli-and-antipasti/olives
groceries-and-everyday,groceries-and-everyday/deli-and-antipasti/oils-and-vinegars,Oils and vinegars,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/deli-and-antipasti/oils-and-vinegars
groceries-and-everyday,groceries-and-everyday/deli-and-antipasti/pate-and-dips,Pate and dips,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/deli-and-antipasti/pate-and-dips
groceries-and-everyday,groceries-and-everyday/deli-and-antipasti/antipasti,Antipasti,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/deli-and-antipasti/antipasti
groceries-and-everyday,groceries-and-everyday/deli-and-antipasti/salad-dressings,Salad dressings,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/deli-and-antipasti/salad-dressings
groceries-and-everyday,groceries-and-everyday/fruit-nuts-and-seeds/fruit,Fruit,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/fruit-nuts-and-seeds/fruit
groceries-and-everyday,groceries-and-everyday/fruit-nuts-and-seeds/nuts,Nuts,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/fruit-nuts-and-seeds/nuts
groceries-and-everyday,groceries-and-everyday/fruit-nuts-and-seeds/seeds,Seeds,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/fruit-nuts-and-seeds/seeds
groceries-and-everyday,groceries-and-everyday/baking-ingredients/flour,Flour,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/baking-ingredients/flour
groceries-and-everyday,groceries-and-everyday/baking-ingredients/sugars-and-syrups,Sugars and syrups,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/baking-ingredients/sugars-and-syrups
groceries-and-everyday,groceries-and-everyday/baking-ingredients/baking-mixes,Baking mixes,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/baking-ingredients/baking-mixes
groceries-and-everyday,groceries-and-everyday/baking-ingredients/egg-replacers,Egg replacers,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/baking-ingredients/egg-replacers
groceries-and-everyday,groceries-and-everyday/drinks/coffee-beans,Coffee beans,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/drinks/coffee-beans
groceries-and-everyday,groceries-and-everyday/drinks/ground-coffee,Ground coffee,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/drinks/ground-coffee
groceries-and-everyday,groceries-and-everyday/drinks/instant-coffee,Instant coffee,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/drinks/instant-coffee
groceries-and-everyday,groceries-and-everyday/drinks/tea,Tea,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/drinks/tea
groceries-and-everyday,groceries-and-everyday/drinks/green-tea,Green tea,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/drinks/green-tea
groceries-and-everyday,groceries-and-everyday/drinks/herbal-tea,Herbal tea,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/drinks/herbal-tea
groceries-and-everyday,groceries-and-everyday/drinks/chocolate,Chocolate,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/drinks/chocolate
groceries-and-everyday,groceries-and-everyday/drinks/soft-drinks,Soft drinks,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/drinks/soft-drinks
groceries-and-everyday,groceries-and-everyday/drinks/juice,Juice,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/drinks/juice
groceries-and-everyday,groceries-and-everyday/drinks/milk-alternatives,Milk alternatives,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/drinks/milk-alternatives
groceries-and-everyday,groceries-and-everyday/cakes-biscuits-and-snacks/biscuits,Biscuits,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/cakes-biscuits-and-snacks/biscuits
groceries-and-everyday,groceries-and-everyday/cakes-biscuits-and-snacks/snack-bars,Snack bars,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/cakes-biscuits-and-snacks/snack-bars
groceries-and-everyday,groceries-and-everyday/cakes-biscuits-and-snacks/snacks,Snacks,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/cakes-biscuits-and-snacks/snacks
groceries-and-everyday,groceries-and-everyday/yoghurt/yoghurt,Yoghurt,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/yoghurt/yoghurt
groceries-and-everyday,groceries-and-everyday/yoghurt/custard-and-jelly,Custard and jelly,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/yoghurt/custard-and-jelly
groceries-and-everyday,groceries-and-everyday/yoghurt/cream,Cream,FALSE,https://www.ethicalsuperstore.com/category/groceries-and-everyday/yoghurt/cream
