category,identifier,description,active,sourceLink
grocery,3655F471,Grocery,FALSE,https://www.amazon.co.uk/s?node=22409164031&fs=true&rh=i%3Agrocery
stripbooks,i/stripbooks,Books,FALSE,https://www.amazon.co.uk/s?node=22409164031&fs=true&rh=i%3Astripbooks
drugstore,i/drugstore,Health & Personal Care,FALSE,https://www.amazon.co.uk/s?node=22409164031&fs=true&rh=i%3Adrugstore
kitchen,i/kitchen,Home & Kitchen,FALSE,https://www.amazon.co.uk/s?node=22409164031&fs=true&rh=i%3Akitchen
beauty,i/beauty,Beauty,FALSE,https://www.amazon.co.uk/s?node=22409164031&fs=true&rh=i%3Abeauty
office-products,i/office-products,Stationery & Office Supplies,FALSE,https://www.amazon.co.uk/s?node=22409164031&fs=true&rh=i%3Aoffice-products
electronics,i/electronics,Electronics & Photo,FALSE,https://www.amazon.co.uk/s?node=22409164031&fs=true&rh=i%3Aelectronics
computers,i/computers,Computers & Accessories,FALSE,https://www.amazon.co.uk/s?node=22409164031&fs=true&rh=i%3Acomputers
sports,i/sports,Sports & Outdoors,FALSE,https://www.amazon.co.uk/s?node=22409164031&fs=true&rh=i%3Asports
industrial,i/industrial,Industrial & Scientific,FALSE,https://www.amazon.co.uk/s?node=22409164031&fs=true&rh=i%3Aindustrial
baby,i/baby,Baby,FALSE,https://www.amazon.co.uk/s?node=22409164031&fs=true&rh=i%3Ababy
toys,i/toys,Toys & Games,FALSE,https://www.amazon.co.uk/s?node=22409164031&fs=true&rh=i%3Atoys
outdoor,i/outdoor,Garden & Outdoors,FALSE,https://www.amazon.co.uk/s?node=22409164031&fs=true&rh=i%3Aoutdoor
fashion,i/fashion,Fashion,FALSE,https://www.amazon.co.uk/s?node=22409164031&fs=true&rh=i%3Afashion
diy,i/diy,DIY & Tools,FALSE,https://www.amazon.co.uk/s?node=22409164031&fs=true&rh=i%3Adiy
pets,D7F6E89A,Pet Supplies,FALSE,https://www.amazon.co.uk/s?node=22409164031&fs=true&rh=i%3Apets
automotive,i/automotive,Car & Motorbike,FALSE,https://www.amazon.co.uk/s?node=22409164031&fs=true&rh=i%3Aautomotive
misc,i/misc,Everything Else,FALSE,https://www.amazon.co.uk/s?node=22409164031&fs=true&rh=i%3Amisc
